name,category,phone,reservation,address,transportation,hours,price_range,review_based_price_range,service_charges,seating_capacity,max_guests,private_rooms,charter,smoking_policy,parking,facilities,course_menu,drinks,scenes,services,homepage,opened_date,additional_notes,diner_idx,city_name,region_name,tabelog_url,total_review_count,facebook_url,instagram_url,twitter_url,payment_card,payment_emoney,payment_qr,card_types,price_min,price_max,review_price_min,review_price_max,has_private_room,has_smoking,has_reservation,has_parking,bayesian_score,rank
酒のみ屋 魚久,海鮮、居酒屋,098-866-4736,予約可,沖縄県那覇市松尾2-9-5 1F,牧志駅から544m,,{},"{'Dinner': '￥3,000～￥3,999'}",,,,無,可,"全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,,,,,,,,,47024846,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47024846/,40,,,,1,1,1,[],,,3000,3999,0,1,1,0,0.4955729217994314,171.0
おもろまち BAR石光,バー、ダイニングバー、カフェ,050-5456-7727,予約可,沖縄県那覇市おもろまち4-17-17 SOLビル 5F,ゆいレール、おもろまち駅より徒歩3分,"月・火・水・木・金・土
                        
                      
                          
                            19:00 - 02:00
                          
                      
                    
                    
                        
                          日・祝日
                        
                      
                          
                            定休日","{'Dinner': '￥3,000～￥3,999'}","{'Dinner': '￥3,000～￥3,999'}",テーブルチャージ550円,30,,無,不可,"全席禁煙
                  テラス、エレベーターホールにて、喫煙スペース有り。",無,オシャレな空間、落ち着いた空間、カップルシートあり、カウンター席あり、ソファー席あり、オープンテラスあり、電源あり、無料Wi-Fiあり,飲み放題,焼酎あり、ワインあり、カクテルあり、カクテルにこだわる,一人で入りやすい,テーブルチャージ550円,,2018年9月13日,ひっそりと佇む石畳の路地を抜け奥のエレベーターで最上階へ。店内には煌びやかなボトルやグラスが並び、店舗最奥部には美しい坪庭が。貴方を非日常空間へと誘います。,47022856,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47022856/,20,https://www.facebook.com/bar.ishimitsu,https://www.instagram.com/bar_ishimitsu,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,3000,3999,0,1,1,0,0.49548916323432557,172.0
THE ORION BEER BAR,ビアバー、ホテル,0980-51-7302,予約可,沖縄県国頭郡本部町備瀬148-1 オリオンホテル モトブ リゾート＆スパ 3F,"車：那覇空港より約100分（沖縄自動車道利用）、許田I.Cより約39分
バス：那覇空港発急行バス、エアポートシャトル、リムジンバス、路線バスなど",12:00 - 23:00,"{'Dinner': '￥2,000～￥2,999', 'Lunch': '￥2,000～￥2,999'}",{},,104,,無,不可,全席禁煙,有,オシャレな空間、落ち着いた空間、席が広い、ソファー席あり、オープンテラスあり、無料Wi-Fiあり、車椅子で入店可,,,家族・子供と,,https://www.okinawaresort-orion.com/restaurant/beerbar/,,,47032270,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470202/47032270/,12,https://www.facebook.com/okinawaresort.orion,https://www.instagram.com/hotelorionmotoburesort_spa/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'UnionPay', 'VISA']",2000,2999,,,0,2,1,1,0.49525119948029933,173.0
cafe Rob 北谷店,カフェ、パンケーキ,080-7232-5214,,沖縄県中頭郡北谷町北前1-17-9,,"10:00 - 16:30

L.O. 15:40",{},{},,,,無,不可,,有,,,,,,,,,47032142,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47032142/,6,,https://www.instagram.com/caferob_okinawachatan,,1,1,1,[],,,,,0,2,2,1,0.49521769824412926,174.0
FABBRICA DEL SOLE,イタリアン,098-800-2014,予約可,沖縄県那覇市壺屋1-7-12 1F,牧志駅から475m,"火・水・木・金・土

17:30 - 23:00

月・日

定休日",{},"{'Dinner': '￥6,000～￥7,999', 'Lunch': '￥1,000～￥1,999'}",,12,,無,可,全席禁煙,無,カウンター席あり,,,デート,,,2022年11月7日,,47029776,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47029776/,18,,https://www.instagram.com/fabbrica_del_sole,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'UnionPay', 'VISA']",,,6000,7999,0,2,1,0,0.4950452653401516,175.0
金武アグーと山城牛のしゃぶしゃぶ琉球 国際通り店,しゃぶしゃぶ、豚しゃぶ、沖縄料理,050-5594-2304,予約可,沖縄県那覇市松尾2-1-8 1F,県庁前駅から徒歩10分美栄橋駅から徒歩10分,"月・火・水・木・金・土・日・祝日・祝前日・祝後日
                        
                      
                          
                            17:00 - 23:00
                              L.O. 22:00","{'Dinner': '￥6,000～￥7,999'}",{},,54,着席時 50人,"有                
                  
                    （4人可）","可                
                  
                    （20人～50人可）",全席禁煙,無,オシャレな空間、ソファー席あり、電源あり,飲み放題,焼酎あり、ワインあり、カクテルあり,"家族・子供と
                  ｜
                大人数の宴会",お祝い・サプライズ可（バースデープレート）,,2024年7月14日,,47031951,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031951/,10,,https://www.instagram.com/kokusai.ryukyu_okinawa,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",6000,7999,,,1,2,1,0,0.4949978326373176,176.0
焼肉 勇太郎,焼肉,050-5872-9539,予約可,沖縄県那覇市おもろまち4-17-10 秋桜ビル 2F,おもろまち駅より徒歩5分,"17:00 - 00:00
                              L.O. 料理23:00 ドリンク23:30","{'Dinner': '￥5,000～￥5,999'}","{'Dinner': '￥5,000～￥5,999'}",330円(税込),50,着席時 50人,"有                
                  
                    （4人可、6人可、8人可）","可                
                  
                    （20人～50人可、50人以上可）","分煙（加熱式たばこ限定）
                  2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,オシャレな空間、落ち着いた空間、席が広い、カップルシートあり、カウンター席あり、ソファー席あり、電源あり,,日本酒あり、焼酎あり、ワインあり、日本酒にこだわる、焼酎にこだわる、ワインにこだわる,"家族・子供と
                  ｜
                デート",330円(税込),,2021年1月15日,,47027551,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47027551/,41,,,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",5000,5999,5000,5999,1,2,1,0,0.4949510342263538,177.0
ネオ大衆酒場クモジシンセカイ,居酒屋、沖縄料理、ダイニングバー,098-943-2842,予約可,沖縄県那覇市久茂地3-11-7 3F・4F,ゆいレール「県庁前」駅徒歩1分,"18:00 - 03:00

L.O. 料理02:00 ドリンク02:30","{'Dinner': '￥2,000～￥2,999'}","{'Dinner': '￥3,000～￥3,999'}",,50,,無,"可

（20人～50人可）","全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,落ち着いた空間、席が広い、カウンター席あり、ダーツあり、スポーツ観戦可、プロジェクターあり、電源あり、無料Wi-Fiあり,飲み放題、3時間以上飲み放題、食べ放題,焼酎あり、ワインあり、カクテルあり,,2時間半以上の宴会可、お祝い・サプライズ可、ハッピーアワー,,2023年11月1日,,47031060,久茂地,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031060/,6,,,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",2000,2999,3000,3999,0,1,1,0,0.4949509569018481,178.0
ヤフソチキン,メキシコ料理、バー、創作料理,098-914-0419,予約不可,沖縄県那覇市松尾2-7-29,"県庁前駅から徒歩10分
浮島通り中央に位置しており、
国際通りからもアクセスが良いです。","月・火・木・金

17:00 - 22:00

土・日

16:00 - 22:00

水

定休日","{'Dinner': '￥2,000～￥2,999', 'Lunch': '￥2,000～￥2,999'}","{'Dinner': '￥2,000～￥2,999'}",,8,,無,不可,"分煙

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,オシャレな空間、カウンター席あり、立ち飲みができる、電源あり、車椅子で入店可,,カクテルあり,家族・子供と ｜ 一人で入りやすい,ペット可、複数言語メニューあり（英語）,,2023年3月1日,,47030107,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47030107/,17,,https://www.instagram.com/yafuso_chicken.okinawa/?hl=ja,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",2000,2999,2000,2999,0,2,1,0,0.4948687260888534,179.0
個室しゃぶしゃぶ 金しし,しゃぶしゃぶ、沖縄料理、豚しゃぶ,050-5594-2309,予約可,沖縄県那覇市松山1-14-10 クイーンズビル 1F,"沖縄モノレール美栄橋駅出口より徒歩約11分
沖縄モノレール県庁前(沖縄)駅出口より徒歩約12分","17:00 - 23:00

L.O. 22:30","{'Dinner': '￥6,000～￥7,999'}",{},,32,,"有

全席個室となっております。",不可,"全席喫煙可

※喫煙の場合、加熱式たばこ限定です。

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,オシャレな空間、落ち着いた空間、席が広い、カップルシートあり、座敷あり,飲み放題,日本酒あり、焼酎あり、ワインあり、日本酒にこだわる、焼酎にこだわる、ワインにこだわる,,,,2024年5月16日,,47032014,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47032014/,6,,https://www.instagram.com/matsuyama_kinshishi/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",6000,7999,,,1,1,1,0,0.49477683634453945,180.0
琉球古民家沖縄料理てぃーだむーん,沖縄料理,050-5596-0511,予約可,沖縄県国頭郡本部町謝花49,"Map Code 553 047 443*40

美ら海水族館から車で約6分
ジャングリア沖縄から車で約24分
瀬底島から車で約8分
今帰仁村から車で約12分
名護市から車で約20分
古宇利島から車で約25分
オリオンホテル モトブ リゾート＆スパから車で約6分
備瀬フクギ並木から車で約7分
センチェリオンホテルから車で約7分
マハイナホテルから車で約4分
グリーンパークホテルから車で約4分
マリンピアザホテルから車で約3分
モトブリゾートホテルから車で約4分","月・火・木・金・土・日・祝日・祝前日・祝後日

07:00 - 12:00
18:00 - 22:00

水

定休日","{'Dinner': '￥8,000～￥9,999', 'Lunch': '￥3,000～￥3,999'}",{},,26,,"有

（8人可）",可,全席禁煙,有,落ち着いた空間、席が広い、カップルシートあり、カウンター席あり、座敷あり,,焼酎あり、カクテルあり、焼酎にこだわる、カクテルにこだわる,家族・子供と,お祝い・サプライズ可（バースデープレート）、写真付きメニューあり,https://www.okiroko.jp/teedamoon,2025年3月1日,,47032790,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470202/47032790/,3,,https://www.instagram.com/teedamoon_okinawa,,1,1,1,"['Master', 'UnionPay', 'VISA']",8000,9999,,,1,2,1,1,0.4947524204905926,181.0
煮干し中華そば かいしんのいちげき!,ラーメン、つけ麺,非設置,予約不可,沖縄県名護市東江3-20-28,裏に駐車場あり,11:00 - 15:30,"{'Lunch': '￥1,000～￥1,999'}",{'Lunch': '～￥999'},なし,20,,無,不可,全席禁煙,有,オシャレな空間、落ち着いた空間、席が広い、カウンター席あり、座敷あり,,,家族・子供と ｜ 一人で入りやすい,,,2023年1月3日,,47029587,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470201/47029587/,24,,https://www.instagram.com/kaishin.okinawa,https://twitter.com/kaishinno_ichi,1,1,1,[],1000,1999,,,0,2,1,1,0.4945956723165398,182.0
焼処 立薫,焼き鳥,080-7988-2041,予約可,沖縄県那覇市銘苅1-14-7 2F,古島駅から164m,"月・火・水・木・金・土・祝日・祝前日・祝後日

17:00 - 23:00

L.O. 料理22:00

日

定休日","{'Dinner': '￥5,000～￥5,999'}",{},,14,,無,不可,全席禁煙,有,,,,,,,,,47031921,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47031921/,4,,https://www.instagram.com/yakidokoro_rikka28,,1,1,1,[],5000,5999,,,0,2,1,1,0.4945197547777929,183.0
小梅,居酒屋、カレー,098-800-1943,予約可,沖縄県那覇市安里1-3-3 1F,牧志駅より徒歩5分,"月・水・木・金・土・日

11:00 - 23:00

火

定休日","{'Dinner': '￥3,000～￥3,999', 'Lunch': '￥2,000～￥2,999'}","{'Dinner': '￥3,000～￥3,999', 'Lunch': '￥1,000～￥1,999'}",,39,,無,不可,全席禁煙,無,落ち着いた空間、カウンター席あり、座敷あり,,焼酎あり、カクテルあり、焼酎にこだわる,家族・子供と,,https://www.kozakura.co/,2021年6月1日,,47027960,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47027960/,151,,https://www.instagram.com/koume.okinawa/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,3000,3999,0,2,1,0,0.4945099467377676,184.0
ミクソロジーカフェ&バーリュウキュウドリンク ラボ,バー、カフェ,098-800-2050,予約可,沖縄県那覇市牧志3-4-1 水上店舗 1F,牧志駅から627m,"17:00 - 01:00

L.O. 00:00","{'Dinner': '￥3,000～￥3,999'}","{'Dinner': '￥2,000～￥2,999'}",テーブルチャージ1000円,5,,無,"可

（20人以下可）",全席禁煙,有,カウンター席あり,,カクテルにこだわる,一人で入りやすい,テイクアウト,https://ryukyu-drink-labo.okinawa/,2020年11月,ペットは外テーブルのみ可能,47027364,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47027364/,15,,https://www.instagram.com/ryukyu.drink.labo/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,2000,2999,0,2,1,1,0.49449575927044814,185.0
LEMONADE96 CHATAN,カフェ,090-9525-0514,,沖縄県中頭郡北谷町宮城3-283 parksidetownA-28 2F,,"月・水・木・金・土・日

08:00 - 17:00

火

定休日",{},{},,,,,,,,,,,,,,2025年4月25日,,47033269,中頭郡北谷町,okinawa,https://tabelog.com/okinawa/A4703/A470304/47033269/,2,,https://www.instagram.com/chatan_lemonade_96?igsh=Mm83ZnRiOGl4c3M0,,0,0,0,[],,,,,2,2,2,2,0.4943576663901732,186.0
ジャムズタコス 国際通り店,タコス、カフェ,070-9053-2109,予約可,沖縄県那覇市牧志2-4-14,"モノレール牧志駅から徒歩３分
那覇空港から車で１５分","月

11:00 - 15:00

L.O. 14:30

水・木・金・土・日

11:00 - 15:00

L.O. 14:30

17:00 - 21:00

L.O. 20:30

火

定休日","{'Dinner': '￥1,000～￥1,999', 'Lunch': '￥1,000～￥1,999'}","{'Dinner': '￥1,000～￥1,999', 'Lunch': '￥1,000～￥1,999'}",,20,,無,"可

（20人～50人可）",全席禁煙,無,オシャレな空間、落ち着いた空間、カウンター席あり,,ワインあり,家族・子供と,テイクアウト、複数言語メニューあり（英語）,,,,47029557,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47029557/,107,https://www.facebook.com/jamstacos.kokusaitori,https://www.instagram.com/jamstacos_okinawa,,1,1,1,[],1000,1999,1000,1999,0,2,1,0,0.49430581662373696,187.0
6,イノベーティブ、フレンチ,0980-56-3733,完全予約制,沖縄県国頭郡今帰仁村古宇利499-1,,16:00 - 23:00,"{'Dinner': '￥20,000～￥29,999', 'Lunch': '￥10,000～￥14,999'}","{'Dinner': '￥30,000～￥39,999', 'Lunch': '￥30,000～￥39,999'}",,16,,無,不可,全席禁煙,有,オシャレな空間、落ち着いた空間、席が広い、オープンテラスあり,,日本酒あり、ワインあり,,,https://six-kouri.com/,2018年4月15日,"移転前の店舗情報
https://tabelog.com/aichi/A2301/A230107/23060011/",47022252,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470202/47022252/,184,,https://www.instagram.com/sixkouri/?hl=ja,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",20000,29999,30000,39999,0,2,2,1,0.4939312843285296,188.0
居酒屋 くんか,居酒屋,098-988-4735,予約可,沖縄県那覇市松山1-33-2 はましんビル 1F,県庁前駅から668m,"18:00 - 05:00

L.O. 04:00","{'Dinner': '￥2,000～￥2,999'}","{'Dinner': '￥3,000～￥3,999'}",,43,,"有

（2人可、4人可、6人可、8人可）

通常12名 詰めれば14〜16名可","可

（20人～50人可）","全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,落ち着いた空間、席が広い、カウンター席あり、座敷あり、掘りごたつあり、電源あり、無料Wi-Fiあり,,日本酒あり、焼酎あり、ワインあり、カクテルあり、日本酒にこだわる、焼酎にこだわる,,2時間半以上の宴会可,,2020年2月1日,,47025922,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47025922/,35,,https://www.instagram.com/izakaya_kunka,,1,1,0,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",2000,2999,3000,3999,1,1,1,0,0.4939066181629175,189.0
New Cinema Parlor 久茂地店,パスタ,098-954-5967,,沖縄県那覇市久茂地3-18-12 2F,県庁前駅から199m,11:30 - 16:00,{},{},,,,,,,,,,,,,,,,47031952,久茂地,okinawa,https://tabelog.com/okinawa/A4701/A470101/47031952/,4,,https://www.instagram.com/new_cinema_parlor,,1,0,0,[],,,,,2,2,2,2,0.49366018700333,190.0
ちゅらちゅら 那覇国際通り店,居酒屋、沖縄料理、しゃぶしゃぶ,050-5590-6549,予約可,沖縄県那覇市松尾1-4-10 ホテル国際プラザ 2F,ゆいレール 県庁前駅 徒歩5分県庁前駅から418m,"17:00 - 00:00
                              L.O. 料理23:00 ドリンク23:30","{'Dinner': '￥3,000～￥3,999'}",{},,78,,"有                
                  
                    （2人可、4人可、6人可、8人可、10～20人可、20～30人可、30人以上可）","可                
                  
                    （50人以上可）","全席喫煙可
                  2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。
                  2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,オシャレな空間、落ち着いた空間、席が広い、カップルシートあり,飲み放題、3時間以上飲み放題、食べ放題,焼酎あり,大人数の宴会,,,2023年7月1日,,47030592,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47030592/,23,,,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",3000,3999,,,1,1,1,0,0.4935208229014327,191.0
くもざき,居酒屋、天ぷら、日本料理,098-987-6886,予約可,沖縄県那覇市久茂地1-4-1,"県庁前駅から徒歩3分

※近隣ホテル等々
コンフォートホテル那覇県庁前　徒歩1分
ホテルサン沖縄　徒歩1分
ダイワロイネットホテル沖縄県庁前　徒歩3分
東横INN那覇旭橋駅前　徒歩3分
那覇バスターミナル　徒歩4分
パレット久茂地　徒歩4分","月・火・水・木・金

11:30 - 14:00
18:00 - 23:00

土

18:00 - 23:00

日

定休日","{'Dinner': '￥3,000～￥3,999', 'Lunch': '～￥999'}","{'Dinner': '￥5,000～￥5,999', 'Lunch': '￥1,000～￥1,999'}",,30,,"有

（2人可、4人可、6人可、8人可、10～20人可、20～30人可）

個室ご利用の際はお気軽にご相談ください。","可

（20人～50人可）","全席禁煙

店頭にて灰皿をご用意しております。",無,落ち着いた空間、席が広い、カウンター席あり、ソファー席あり、掘りごたつあり、立ち飲みができる、電源あり,,日本酒あり、焼酎あり、ワインあり,接待,2時間半以上の宴会可、お祝い・サプライズ可、テイクアウト,,2019年3月28日,"☆姉妹店☆

琉球ビストロ　ナチュール
https://tabelog.com/tokyo/A1317/A131706/13186940/",47024191,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47024191/,88,,https://www.instagram.com/kumo.zaki/,,1,1,1,"['AMEX', 'Master', 'VISA']",3000,3999,5000,5999,1,2,1,0,0.49331302893804757,192.0
まちぐゎー食堂 道頓堀,沖縄料理、海鮮,098-866-0557,予約不可,沖縄県那覇市松尾2-10-1 第一牧志公設市場 2F,牧志駅から527m,"09:00 - 21:00

L.O. 20:00",{},"{'Dinner': '￥1,000～￥1,999', 'Lunch': '￥1,000～￥1,999'}",,,,無,不可,,無,,,,,,http://www.dotonbori-naha.jp/,,,47030202,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47030202/,67,,,,1,1,1,[],,,1000,1999,0,2,1,0,0.4930600244910556,193.0
肉屋黒川 那覇首里店,ステーキ,不明の為情報お待ちしております,,沖縄県那覇市首里末吉町4-2-21,市立病院前駅から327m,11:00 - 15:00,{},{},,,,無,,全席禁煙,無,,,,家族・子供と,,,2025年4月4日,,47033089,那覇市その他,okinawa,https://tabelog.com/okinawa/A4701/A470103/47033089/,3,,,,1,1,1,[],,,,,0,2,2,0,0.4929062029665193,194.0
ロックス ステーキハウス,ステーキ,050-5600-0816,予約可,沖縄県那覇市松山2-8-1 ダイアモンドビル 1F,ゆいレール県庁前から徒歩10分,"火・水・木・金・土
                        
                      
                          
                            17:00 - 23:00
                          
                      
                    
                    
                        
                          日
                        
                      
                          
                            17:00 - 22:30
                          
                      
                    
                    
                        
                          月
                        
                      
                          
                            定休日","{'Dinner': '￥10,000～￥14,999'}","{'Dinner': '￥10,000～￥14,999'}",サービス料5％,34,,"有                
                  
                    （10～20人可）",可,全席禁煙,無,オシャレな空間、落ち着いた空間、カウンター席あり、ソファー席あり,飲み放題,ワインあり、カクテルあり、ワインにこだわる、カクテルにこだわる,家族・子供と,サービス料5％,https://www.rocks-steakhouse.com/,2022年12月6日,,47029827,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47029827/,15,,https://www.instagram.com/rocks_steak_house_okinawa/,,1,1,1,"['AMEX', 'Diners', 'JCB', 'Master', 'VISA']",10000,14999,10000,14999,1,2,1,0,0.49286336306148265,195.0
鮨弥栄,寿司、海鮮、日本料理,050-5596-6682,予約可,沖縄県那覇市久米1-4-26 ジグラートビル201,国道58号線を名護向け泉崎交差点を左折、久米大通り(西武門通り)を波の上向けに100ｍ。1つ目の信号左角。旭橋駅徒歩4分,"月・火・水・木・金・土・祝日・祝前日・祝後日
                        
                      
                          
                            18:00 - 23:00
                              L.O. 料理22:00 ドリンク22:30
                          
                      
                    
                    
                        
                          日
                        
                      
                          
                            定休日","{'Dinner': '￥10,000～￥14,999'}","{'Dinner': '￥15,000～￥19,999'}",無し,16,,"有                
                  
                    （2人可、4人可）
                  
                  
                    半個室タイプのテーブル席をご用意しております","可                
                  
                    （20人以下可）",全席禁煙,無,オシャレな空間、落ち着いた空間、カウンター席あり、無料Wi-Fiあり,,日本酒あり、焼酎あり、ワインあり、日本酒にこだわる,"家族・子供と
                  ｜
                接待",無し,,2018年11月27日,,47023359,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47023359/,62,https://www.facebook.com/profile.php?id=100033004689779,https://www.instagram.com/sushiyasaka11/?igshid=h4sk5k17pjvp,,1,1,1,[],10000,14999,15000,19999,1,2,1,0,0.4926123773439558,196.0
中華酒場 和樓,中華料理、居酒屋、餃子,050-5595-3116,予約可,沖縄県那覇市おもろまち4-7-26,サンエーメインプレスから歩いて5分,"月・水・木・金・土・祝前日
                        
                      
                          
                            18:00 - 00:00
                              L.O. 料理23:00 ドリンク23:30
                          
                      
                    
                    
                        
                          日
                        
                      
                          
                            17:00 - 23:00
                              L.O. 料理22:00 ドリンク22:30
                          
                      
                    
                    
                        
                          祝日
                        
                      
                          
                            17:00 - 23:00
                          
                      
                    
                    
                        
                          火
                        
                      
                          
                            定休日","{'Dinner': '￥4,000～￥4,999'}",{},,23,,"有                
                  
                    （2人可、4人可、6人可）","可                
                  
                    （20人～50人可）",全席禁煙,無,オシャレな空間、落ち着いた空間、カウンター席あり、ソファー席あり、座敷あり、掘りごたつあり,飲み放題,ワインあり、カクテルあり,家族・子供と,,,,貸切ご希望の場合はお電話にてご相談ください。,47029432,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47029432/,14,,,,1,1,1,"['Master', 'VISA']",4000,4999,,,1,2,1,0,0.49249881923155037,197.0
民謡居酒屋 琉球ダイニング UMUI,居酒屋、創作料理、沖縄料理,0980-43-7567,予約可,沖縄県名護市宇茂佐の森5-2-9 2F,名護バスターミナルより徒歩10分,"月・火・水・木・金・土

17:00 - 00:00

L.O. 料理23:00 ドリンク23:30

日

定休日","{'Dinner': '￥3,000～￥3,999'}",{},ライブチャージ700円（税込）をいただいております。（中学生以上）,14,,"無

仕切り部屋あり","可

（20人以下可、20人～50人可、50人以上可）","全席禁煙

外に喫煙所あり",有,席が広い、座敷あり、掘りごたつあり、ライブ・生演奏あり、電源あり、無料Wi-Fiあり,飲み放題,日本酒あり、焼酎あり、ワインあり、カクテルあり,家族・子供と,2時間半以上の宴会可,https://umui.wp.xdomain.jp/,,"民謡ライブ
19:00～
20:30～
22:00～
の時間で行っております。
クレジットカードは、他にもディスカバーカード、MUFGカード、DCカード、NICOSカード、UCカード、銀聯カード、JCB PREMOがご利用できます。",47027664,本島北部,okinawa,https://tabelog.com/okinawa/A4702/A470201/47027664/,13,,https://www.instagram.com/ryukyudining.umui/,,1,1,1,"['AMEX', 'Diners', 'JCB']",3000,3999,,,0,2,1,1,0.49219071794482494,198.0
decker's cafe,カフェ,098-861-0670,予約可,沖縄県那覇市おもろまち2-6-11 フロンティアビル南ウイング 1F,おもろまち駅から662m,,{},{},,,,無,,,有,,,,,,,,,47031387,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470103/47031387/,12,,,,1,1,1,[],,,,,0,2,1,1,0.49213797374660107,199.0
川かみ鮮魚,その他,不明の為情報お待ちしております,予約不可,沖縄県那覇市松尾2-11-18,牧志公設市場の近くにあります,"月・火・水・木・金・土・日・祝日

17:00 - 20:00","{'Dinner': '￥1,000～￥1,999'}","{'Dinner': '￥1,000～￥1,999', 'Lunch': '￥1,000～￥1,999'}",,,,無,不可,"全席喫煙可

2020年4月1日より受動喫煙対策に関する法律(改正健康増進法）が施行されており、最新の情報と異なる場合がございますので、ご来店前に店舗にご確認ください。",無,席が広い、ソファー席あり、オープンテラスあり,,日本酒あり、焼酎あり,,,,,せんべろやってます,47021708,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47021708/,104,,,,1,1,1,[],1000,1999,1000,1999,0,1,1,0,0.4921280930778612,200.0
炭火焼き鳥 織うち,焼き鳥,080-3254-9938,予約可,沖縄県那覇市松尾2-24-20,不定休,17:00 - 23:00,"{'Dinner': '￥8,000～￥9,999'}",{},,,,"有

半個室あり",不可,,無,,,日本酒あり、焼酎あり、ワインあり、日本酒にこだわる、焼酎にこだわる,,,,,,47030527,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47030527/,19,,,,1,1,1,"['AMEX', 'VISA']",8000,9999,,,1,2,1,0,0.49198788452727515,201.0
中華 知花,中華料理,090-8290-5937,完全予約制,沖縄県那覇市松山2-10-2 1F,ゆいレール美栄橋駅から徒歩8分,18:00 - 23:00,"{'Dinner': '￥15,000～￥19,999'}","{'Dinner': '￥15,000～￥19,999'}",サービス料10％,8,,無,"可

（20人以下可）",全席禁煙,無,カウンター席あり、無料Wi-Fiあり,,,家族・子供と,,,2022年11月11日,"アレルギーや苦手な食材をご記入頂く際、対象となる方の人数と
甲殻類アレルギーの方は甲殻類で取った出汁は大丈夫か否かのご記入もいただけると
幸いでございます。",47029724,那覇市,okinawa,https://tabelog.com/okinawa/A4701/A470101/47029724/,21,,https://www.instagram.com/chuuka_chibana,,1,1,1,"['JCB', 'Master', 'VISA']",15000,19999,15000,19999,0,2,2,0,0.49195597061018304,202.0
